title,price,location,link,image_url
"Appartement
                                                 - 1 pièce                                        
                                            Saint-Nazaire","325 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-saint-nazaire-44600/66FAD9A419612488259398,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/66FAD9A419612488259398-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Nantes
                                                                - Talensac-Pont Morand","341 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-nantes-44000/66EED0E835273909968230,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/66EED0E835273909968230-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Saint-Nazaire","372 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-saint-nazaire-44600/66E0CFF1204CF851587255,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/66E0CFF1204CF851587255-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Nantes
                                                                - Saint-Joseph-Erdre","450 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-nantes-44300/67247BCAB0B6C299630299,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/67247BCAB0B6C299630299-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Nantes","470 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-nantes-44300/67001EF684D24246889197,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/67001EF684D24246889197-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Dinard
                                                                - Centre ville","475 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-t1-dinard-35800/67070B48D43E0175747838,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/67070B48D43E0175747838-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Nantes","475 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-nantes-44000/6721222FD834A278069615,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/6721222FD834A278069615-1.jpg
"Appartement
                                                 - 2 pièces                                        
                                            Saint-Nazaire","485 € / mois
                            
                                                            CC","Appartement
                                                 - 2 pièces",https://www.thierry-immobilier.fr/fr/location/appartement-t2-saint-nazaire-44600/671AD1A972972316097214,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/671AD1A972972316097214-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Nantes
                                                                - Saint-Donatien","487 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-nantes-44000/670E046C19E7F101537154,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/670E046C19E7F101537154-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Vertou","489 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-t1-bis-vertou-44120/6723C51ECBAC6853034507,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/6723C51ECBAC6853034507-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Saint-Nazaire
                                                                - Ouest","492 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-t1-bis-saint-nazaire-44600/67247C6CAE2E7767718023,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/67247C6CAE2E7767718023-1.jpg
"Appartement
                                                 - 1 pièce                                        
                                            Nantes
                                                                - Bourgeonnière-Petit Port","500 € / mois
                            
                                                            CC","Appartement
                                                 - 1 pièce",https://www.thierry-immobilier.fr/fr/location/appartement-studio-1-piece-nantes-44300/66FB2D22124C9127597335,https://cdn.webgenery.net/5D5FE94700F2B405667643/taille3/66FB2D22124C9127597335-1.jpg
